Mon Feb 29 11:10:09 2016	Price: 19.13
Mon Feb 29 11:10:15 2016	Price: 19.135
Mon Feb 29 11:10:22 2016	Price: 19.12
Mon Feb 29 11:10:29 2016	Price: 19.12
Mon Feb 29 11:10:35 2016	Price: 19.10
Mon Feb 29 11:10:41 2016	Price: 19.0911
Mon Feb 29 11:10:47 2016	Price: 19.0999
Mon Feb 29 11:10:54 2016	Price: 19.09
Mon Feb 29 11:11:01 2016	Price: 19.09
Mon Feb 29 11:11:07 2016	Price: 19.09
Mon Feb 29 11:11:13 2016	Price: 19.095
Mon Feb 29 11:11:19 2016	Price: 19.10
Mon Feb 29 11:11:25 2016	Price: 19.10
Mon Feb 29 11:11:32 2016	Price: 19.10
Mon Feb 29 11:11:38 2016	Price: 19.10
Mon Feb 29 11:11:44 2016	Price: 19.10
Mon Feb 29 11:11:50 2016	Price: 19.10
Mon Feb 29 11:11:57 2016	Price: 19.10
Mon Feb 29 11:12:04 2016	Price: 19.10
Mon Feb 29 11:12:10 2016	Price: 19.10
Mon Feb 29 11:12:16 2016	Price: 19.12
Mon Feb 29 11:12:22 2016	Price: 19.115
Mon Feb 29 11:12:28 2016	Price: 19.112
Mon Feb 29 11:12:35 2016	Price: 19.11
Mon Feb 29 11:12:41 2016	Price: 19.11
Mon Feb 29 11:12:47 2016	Price: 19.115
Mon Feb 29 11:12:53 2016	Price: 19.1134
Mon Feb 29 11:12:59 2016	Price: 19.11
Mon Feb 29 11:13:06 2016	Price: 19.12
Mon Feb 29 11:13:12 2016	Price: 19.12
Mon Feb 29 11:13:19 2016	Price: 19.125
Mon Feb 29 11:13:26 2016	Price: 19.135
Mon Feb 29 11:13:32 2016	Price: 19.115
Mon Feb 29 11:13:38 2016	Price: 19.1199
Mon Feb 29 11:13:44 2016	Price: 19.12
Mon Feb 29 11:13:50 2016	Price: 19.12
Mon Feb 29 11:13:57 2016	Price: 19.12
Mon Feb 29 11:14:03 2016	Price: 19.115
Mon Feb 29 11:14:09 2016	Price: 19.12
Mon Feb 29 11:14:15 2016	Price: 19.12
Mon Feb 29 11:14:22 2016	Price: 19.115
Mon Feb 29 11:14:28 2016	Price: 19.12
Mon Feb 29 11:14:34 2016	Price: 19.115
Mon Feb 29 11:14:40 2016	Price: 19.115
Mon Feb 29 11:14:47 2016	Price: 19.115
Mon Feb 29 11:14:53 2016	Price: 19.115
Mon Feb 29 11:14:59 2016	Price: 19.10
Mon Feb 29 11:15:06 2016	Price: 19.10
Mon Feb 29 11:15:13 2016	Price: 19.11
Mon Feb 29 11:15:19 2016	Price: 19.105
Mon Feb 29 11:15:25 2016	Price: 19.105
Mon Feb 29 11:15:32 2016	Price: 19.11
Mon Feb 29 11:15:39 2016	Price: 19.115
Mon Feb 29 11:15:45 2016	Price: 19.115
Mon Feb 29 11:15:51 2016	Price: 19.115
Mon Feb 29 11:15:57 2016	Price: 19.12
Mon Feb 29 11:16:03 2016	Price: 19.12
Mon Feb 29 11:16:10 2016	Price: 19.12
Mon Feb 29 11:16:16 2016	Price: 19.1139
Mon Feb 29 11:16:22 2016	Price: 19.115
Mon Feb 29 11:16:28 2016	Price: 19.115
Mon Feb 29 11:16:35 2016	Price: 19.1145
Mon Feb 29 11:16:41 2016	Price: 19.11
Mon Feb 29 11:16:47 2016	Price: 19.11
Mon Feb 29 11:16:53 2016	Price: 19.119
Mon Feb 29 11:17:01 2016	Price: 19.11
Mon Feb 29 11:17:08 2016	Price: 19.11
Mon Feb 29 11:17:14 2016	Price: 19.11
Mon Feb 29 11:17:21 2016	Price: 19.11
Mon Feb 29 11:17:27 2016	Price: 19.115
Mon Feb 29 11:17:33 2016	Price: 19.115
Mon Feb 29 11:17:39 2016	Price: 19.12
